,timestamp,x,y,z,w,roll,pitch,yaw
61,192492531731,0.490479,-0.325623,0.64679,0.484741,-1.1315737116973874,-1.2537469823320466,-0.8857688856293204
62,192492553360,0.491882,-0.32019000000000003,0.647522,0.485962,-1.1979236447442725,-1.2475498305225652,-0.975068842420324
63,192492575315,0.492737,-0.31652800000000003,0.646423,0.48895299999999997,-1.2476140149540742,-1.2424214065563088,-1.04788388566495
64,192492591201,0.49127200000000004,-0.316467,0.646362,0.490601,-1.250768362383304,-1.2394252244287403,-1.049937544299357
65,192492621667,0.490051,-0.31549099999999997,0.647217,0.49127200000000004,-1.2548205771849537,-1.2355292375475093,-1.0525335657477133
66,192492636733,0.49017299999999997,-0.312073,0.6480100000000001,0.492371,-1.2801908029620515,-1.2302891328021663,-1.089165024872636
67,192492651548,0.490051,-0.308228,0.648926,0.493591,-1.3047837651887892,-1.2234836702998797,-1.125083549841879
68,192492681787,0.48858599999999996,-0.305664,0.649292,0.496155,-1.3223003634834014,-1.2161904403322463,-1.1495125626425455
69,192492695481,0.48571800000000004,-0.305725,0.649231,0.49902299999999994,-1.3247250703525264,-1.2105612294162,-1.1490011497277575
70,192492711063,0.482117,-0.30749499999999996,0.648804,0.501953,-1.3177548385532265,-1.2062762213186269,-1.1328287281222025
71,192492734249,0.478699,-0.309692,0.648071,0.504822,-1.3086561972064839,-1.2030516929716064,-1.113752419605051
72,192492755533,0.476074,-0.311646,0.647461,0.506897,-1.2993219995004228,-1.2010624342370098,-1.0953556970141969
73,192492771099,0.474609,-0.312927,0.646606,0.508545,-1.2953339752061195,-1.200016256569258,-1.0876393574284373
74,192492794237,0.474426,-0.314209,0.6450199999999999,0.509949,-1.2950165664573297,-1.201245411988162,-1.0888430349138625
75,192492816761,0.475037,-0.31604,0.6427609999999999,0.511108,-1.2939185481352897,-1.204699419408512,-1.0910605334884935
76,192492831064,0.476318,-0.31842,0.639893,0.5120239999999999,-1.2916762303215592,-1.21013166036706,-1.0934447954745203
77,192492854238,0.47821,-0.321411,0.6365970000000001,0.512573,-1.2870650706482334,-1.217818050431129,-1.0938418596535833
78,192492877190,0.480347,-0.324829,0.632935,0.512939,-1.2808051748354374,-1.2264365519737284,-1.092775792497409
79,192492905296,0.482605,-0.328613,0.6289060000000001,0.513306,-1.2735793548403038,-1.2357175563714087,-1.0911670823886421
80,192492914202,0.48516800000000004,-0.331909,0.625061,0.5134890000000001,-1.269108805622482,-1.2449571351654953,-1.0940261298433325
81,192492936759,0.48779300000000003,-0.334961,0.621155,0.513733,-1.2666919522872806,-1.2537203560877042,-1.1000508780427105
82,192492951032,0.489868,-0.338013,0.6174930000000001,0.514221,-1.263382006993376,-1.2616935348004175,-1.1035926279517008
83,192492974185,0.490662,-0.341614,0.614258,0.514954,-1.2538588187596376,-1.2683715442421841,-1.0959744638400868
84,192492996742,0.490601,-0.345032,0.611816,0.515625,-1.241113767455142,-1.2734909411515227,-1.0817674676033162
85,192493017789,0.490234,-0.347656,0.610352,0.51593,-1.2282983038357287,-1.2770397833215685,-1.0658973343573677
86,192493034261,0.490234,-0.34875500000000004,0.609985,0.515625,-1.2208113897220056,-1.27898505497107,-1.0564215546891642
87,192493056669,0.490112,-0.34881599999999996,0.610474,0.515076,-1.2164654624287394,-1.2790212056818315,-1.0497456716581721
88,192493077774,0.48968500000000004,-0.34845,0.6113890000000001,0.514709,-1.21360255062991,-1.278125559617346,-1.043894336716036
89,192493094195,0.48858599999999996,-0.348145,0.612366,0.514771,-1.2097934579887781,-1.2758467754642118,-1.035481334563842
90,192493117117,0.48651099999999997,-0.348022,0.613159,0.5158689999999999,-1.2064302235242543,-1.2719769414528785,-1.0261153798229692
91,192493137727,0.48327600000000004,-0.348572,0.613647,0.517944,-1.1992026642960254,-1.2669851939147845,-1.009819649779371
92,192493154214,0.478882,-0.349487,0.614319,0.520691,-1.1867133949742772,-1.2607587095615436,-0.9838880158927334
93,192493177381,0.4729,-0.350647,0.6152340000000001,0.524231,-1.1670249106154702,-1.2517289334734618,-0.9447110534435621
94,192493205256,0.463013,-0.352356,0.6159060000000001,0.531067,-1.1388932660390405,-1.236356281052134,-0.8866188681246102
95,192493214142,0.447021,-0.35620100000000005,0.6157229999999999,0.542297,-1.0688297586418525,-1.2134138136037287,-0.765169173675259
